id,date,location,sector,classification,count,capacity,occupancy_rate
100,2024-01-01,Toronto,Women,Emergency,39,39,100
101,2024-01-01,Toronto,Women,Transitional,30,30,100
102,2024-01-01,Toronto,Mixed Adult,Emergency,72,72,100
104,2024-01-01,Toronto,Women,Emergency,30,30,100
107,2024-01-01,Toronto,Mixed Adult,Emergency,94,94,100
109,2024-01-01,Toronto,Women,Emergency,86,86,100
111,2024-01-01,Toronto,Men,Emergency,78,78,100
113,2024-01-01,Toronto,Men,Emergency,264,264,100
115,2024-01-01,Toronto,Men,Emergency,52,52,100
116,2024-01-01,Toronto,Men,Emergency,46,46,100
117,2024-01-01,Toronto,Women,Emergency,37,37,100
118,2024-01-01,Toronto,Men,Emergency,71,71,100
119,2024-01-01,Toronto,Men,Emergency,50,50,100
121,2024-01-01,Toronto,Mixed Adult,Emergency,6,6,100
122,2024-01-01,Toronto,Youth,Emergency,35,35,100
123,2024-01-01,Toronto,Mixed Adult,Emergency,32,32,100
126,2024-01-01,Toronto,Youth,Emergency,40,40,100
127,2024-01-01,Toronto,Youth,Transitional,25,25,100
128,2024-01-01,Toronto,Women,Emergency,30,30,100
129,2024-01-01,Toronto,Youth,Emergency,31,31,100
130,2024-01-01,Toronto,Women,Emergency,27,28,96.43
131,2024-01-01,Toronto,Youth,Emergency,27,27,100
132,2024-01-01,Etobicoke,Youth,Emergency,33,33,100
133,2024-01-01,Etobicoke,Youth,Transitional,19,20,95
134,2024-01-01,Scarborough,Youth,Emergency,10,10,100
135,2024-01-01,Scarborough,Youth,Transitional,40,41,97.56
138,2024-01-02,Toronto,Mixed Adult,Emergency,8,8,100
143,2024-01-02,Toronto,Men,Emergency,42,42,100
144,2024-01-02,Toronto,Men,Emergency,30,30,100
145,2024-01-02,Toronto,Mixed Adult,Emergency,22,22,100
148,2024-01-02,Toronto,Mixed Adult,Emergency,44,48,91.67
149,2024-01-02,Toronto,Men,Transitional,15,18,83.33
154,2024-01-02,Toronto,Men,Transitional,61,68,89.71
155,2024-01-02,Toronto,Men,Transitional,45,48,93.75
156,2024-01-02,Toronto,Men,Emergency,101,101,100
160,2024-01-02,Toronto,Mixed Adult,Transitional,93,93,100
161,2024-01-02,Toronto,Men,Emergency,62,62,100
162,2024-01-02,Toronto,Men,Emergency,67,67,100
163,2024-01-02,Toronto,Men,Emergency,119,119,100
164,2024-01-02,Toronto,Men,Transitional,31,36,86.11
165,2024-01-02,Toronto,Men,Emergency,16,16,100
166,2024-01-02,Toronto,Men,Emergency,52,53,98.11
167,2024-01-02,Toronto,Men,Emergency,106,106,100
168,2024-01-02,Toronto,Mixed Adult,Transitional,32,35,91.43
175,2024-01-02,Toronto,Women,Emergency,87,87,100
176,2024-01-02,Toronto,Men,Emergency,28,28,100
177,2024-01-02,Toronto,Youth,Transitional,1,2,50
178,2024-01-02,Toronto,Youth,Emergency,93,94,98.94
179,2024-01-02,Toronto,Youth,Emergency,30,30,100
180,2024-01-02,Toronto,Youth,Transitional,26,28,92.86
181,2024-01-02,Toronto,Mixed Adult,Emergency,78,78,100
182,2024-01-02,Toronto,Mixed Adult,Emergency,119,119,100
183,2024-01-02,Scarborough,Mixed Adult,Emergency,50,50,100
185,2024-01-02,Toronto,Mixed Adult,Emergency,62,62,100
186,2024-01-02,Toronto,Men,Emergency,30,30,100
187,2024-01-02,Toronto,Mixed Adult,Emergency,44,46,95.65
188,2024-01-02,Toronto,Youth,Transitional,49,50,98
189,2024-01-02,Toronto,Youth,Emergency,40,40,100
191,2024-01-02,Toronto,Mixed Adult,Transitional,5,5,100
192,2024-01-02,Toronto,Mixed Adult,Transitional,7,11,63.64
193,2024-01-02,Toronto,Women,Transitional,36,37,97.3
194,2024-01-02,Toronto,Women,Transitional,23,25,92
195,2024-01-02,Toronto,Women,Emergency,50,52,96.15
196,2024-01-02,Toronto,Women,Emergency,36,36,100
197,2024-01-02,Toronto,Mixed Adult,Emergency,70,70,100
199,2024-01-02,Toronto,Mixed Adult,Emergency,63,70,90
200,2024-01-02,Toronto,Mixed Adult,Emergency,54,60,90
201,2024-01-02,Toronto,Mixed Adult,Emergency,113,119,94.96
204,2024-01-02,Toronto,Men,Transitional,23,25,92
205,2024-01-02,Toronto,Men,Emergency,35,35,100
206,2024-01-02,Toronto,Men,Transitional,4,5,80
208,2024-01-02,Toronto,Women,Emergency,61,61,100
209,2024-01-02,Toronto,Mixed Adult,Emergency,109,111,98.2
210,2024-01-02,Toronto,Men,Emergency,34,34,100
211,2024-01-02,Toronto,Women,Emergency,66,66,100
212,2024-01-02,Toronto,Men,Emergency,73,73,100
213,2024-01-02,Scarborough,Mixed Adult,Emergency,89,89,100
215,2024-01-02,North York,Men,Emergency,278,278,100
216,2024-01-02,North York,Women,Emergency,132,132,100
217,2024-01-02,North York,Men,Emergency,6,6,100
218,2024-01-02,North York,Women,Emergency,4,4,100
220,2024-01-02,Toronto,Mixed Adult,Emergency,31,31,100
223,2024-01-02,Toronto,Mixed Adult,Emergency,82,82,100
224,2024-01-02,Toronto,Mixed Adult,Emergency,49,49,100
225,2024-01-02,Toronto,Youth,Emergency,45,45,100
226,2024-01-02,Toronto,Youth,Emergency,23,23,100
227,2024-01-02,Toronto,Mixed Adult,Emergency,30,30,100
228,2024-01-02,Toronto,Men,Emergency,54,54,100
229,2024-01-02,Toronto,Men,Transitional,15,17,88.24
230,2024-01-02,Toronto,Youth,Emergency,10,12,83.33
231,2024-01-02,Toronto,Youth,Emergency,12,15,80
232,2024-01-02,Toronto,Women,Emergency,16,16,100
233,2024-01-02,Toronto,Women,Transitional,20,20,100
234,2024-01-02,Toronto,Women,Emergency,31,31,100
235,2024-01-02,Toronto,Women,Emergency,39,39,100
236,2024-01-02,Toronto,Women,Transitional,30,30,100
237,2024-01-02,Toronto,Mixed Adult,Emergency,72,72,100
239,2024-01-02,Toronto,Women,Emergency,30,30,100
242,2024-01-02,Toronto,Mixed Adult,Emergency,94,94,100
244,2024-01-02,Toronto,Women,Emergency,86,86,100
246,2024-01-02,Toronto,Men,Emergency,78,78,100
248,2024-01-02,Toronto,Men,Emergency,264,264,100
250,2024-01-02,Toronto,Men,Emergency,52,52,100
251,2024-01-02,Toronto,Men,Emergency,46,46,100
252,2024-01-02,Toronto,Women,Emergency,37,37,100
253,2024-01-02,Toronto,Men,Emergency,71,71,100
254,2024-01-02,Toronto,Men,Emergency,50,50,100
256,2024-01-02,Toronto,Mixed Adult,Emergency,6,6,100
257,2024-01-02,Toronto,Youth,Emergency,35,35,100
258,2024-01-02,Toronto,Mixed Adult,Emergency,32,32,100
261,2024-01-02,Toronto,Youth,Emergency,40,40,100
262,2024-01-02,Toronto,Youth,Transitional,25,25,100
263,2024-01-02,Toronto,Women,Emergency,30,30,100
264,2024-01-02,Toronto,Youth,Emergency,31,31,100
265,2024-01-02,Toronto,Women,Emergency,28,28,100
266,2024-01-02,Toronto,Youth,Emergency,26,27,96.3
267,2024-01-02,Etobicoke,Youth,Emergency,33,33,100
268,2024-01-02,Etobicoke,Youth,Transitional,19,20,95
269,2024-01-02,Scarborough,Youth,Emergency,10,10,100
270,2024-01-02,Scarborough,Youth,Transitional,40,41,97.56
273,2024-01-03,Toronto,Mixed Adult,Emergency,8,8,100
278,2024-01-03,Toronto,Men,Emergency,42,42,100
279,2024-01-03,Toronto,Men,Emergency,30,30,100
280,2024-01-03,Toronto,Mixed Adult,Emergency,23,23,100
283,2024-01-03,Toronto,Mixed Adult,Emergency,47,48,97.92
284,2024-01-03,Toronto,Men,Transitional,15,18,83.33
289,2024-01-03,Toronto,Men,Transitional,59,68,86.76
290,2024-01-03,Toronto,Men,Transitional,46,48,95.83
291,2024-01-03,Toronto,Men,Emergency,100,100,100
295,2024-01-03,Toronto,Mixed Adult,Transitional,93,93,100
296,2024-01-03,Toronto,Men,Emergency,62,62,100
297,2024-01-03,Toronto,Men,Emergency,66,67,98.51
298,2024-01-03,Toronto,Men,Emergency,118,119,99.16
299,2024-01-03,Toronto,Men,Transitional,31,36,86.11
300,2024-01-03,Toronto,Men,Emergency,16,16,100
301,2024-01-03,Toronto,Men,Emergency,53,53,100
302,2024-01-03,Toronto,Men,Emergency,106,106,100
303,2024-01-03,Toronto,Mixed Adult,Transitional,33,35,94.29
310,2024-01-03,Toronto,Women,Emergency,88,88,100
311,2024-01-03,Toronto,Men,Emergency,28,28,100
312,2024-01-03,Toronto,Youth,Transitional,1,2,50
313,2024-01-03,Toronto,Youth,Emergency,94,94,100
314,2024-01-03,Toronto,Youth,Emergency,29,30,96.67
315,2024-01-03,Toronto,Youth,Transitional,26,28,92.86
316,2024-01-03,Toronto,Mixed Adult,Emergency,78,78,100
317,2024-01-03,Toronto,Mixed Adult,Emergency,119,119,100
318,2024-01-03,Scarborough,Mixed Adult,Emergency,50,50,100
320,2024-01-03,Toronto,Mixed Adult,Emergency,61,61,100
321,2024-01-03,Toronto,Men,Emergency,30,30,100
322,2024-01-03,Toronto,Mixed Adult,Emergency,42,46,91.3
323,2024-01-03,Toronto,Youth,Transitional,49,50,98
324,2024-01-03,Toronto,Youth,Emergency,40,40,100
326,2024-01-03,Toronto,Mixed Adult,Transitional,5,5,100
327,2024-01-03,Toronto,Mixed Adult,Transitional,7,11,63.64
328,2024-01-03,Toronto,Women,Transitional,36,37,97.3
329,2024-01-03,Toronto,Women,Transitional,23,25,92
330,2024-01-03,Toronto,Women,Emergency,52,52,100
331,2024-01-03,Toronto,Women,Emergency,36,36,100
332,2024-01-03,Toronto,Mixed Adult,Emergency,69,70,98.57
334,2024-01-03,Toronto,Mixed Adult,Emergency,61,70,87.14
335,2024-01-03,Toronto,Mixed Adult,Emergency,59,60,98.33
336,2024-01-03,Toronto,Mixed Adult,Emergency,117,118,99.15
339,2024-01-03,Toronto,Men,Transitional,23,25,92
340,2024-01-03,Toronto,Men,Emergency,35,35,100
341,2024-01-03,Toronto,Men,Transitional,4,5,80
343,2024-01-03,Toronto,Women,Emergency,61,61,100
344,2024-01-03,Toronto,Mixed Adult,Emergency,109,111,98.2
345,2024-01-03,Toronto,Men,Emergency,34,34,100
346,2024-01-03,Toronto,Women,Emergency,66,66,100
347,2024-01-03,Toronto,Men,Emergency,73,73,100
348,2024-01-03,Scarborough,Mixed Adult,Emergency,89,89,100
350,2024-01-03,North York,Men,Emergency,278,278,100
351,2024-01-03,North York,Women,Emergency,132,132,100
352,2024-01-03,North York,Men,Emergency,6,6,100
353,2024-01-03,North York,Women,Emergency,3,4,75
355,2024-01-03,Toronto,Mixed Adult,Emergency,33,33,100
358,2024-01-03,Toronto,Mixed Adult,Emergency,81,82,98.78
359,2024-01-03,Toronto,Mixed Adult,Emergency,49,49,100
360,2024-01-03,Toronto,Youth,Emergency,45,45,100
361,2024-01-03,Toronto,Youth,Emergency,23,23,100
362,2024-01-03,Toronto,Mixed Adult,Emergency,30,30,100
363,2024-01-03,Toronto,Men,Emergency,54,54,100
364,2024-01-03,Toronto,Men,Transitional,15,17,88.24
365,2024-01-03,Toronto,Youth,Emergency,10,12,83.33
366,2024-01-03,Toronto,Youth,Emergency,12,15,80
367,2024-01-03,Toronto,Women,Emergency,16,16,100
368,2024-01-03,Toronto,Women,Transitional,20,20,100
369,2024-01-03,Toronto,Women,Emergency,31,31,100
370,2024-01-03,Toronto,Women,Emergency,39,39,100
371,2024-01-03,Toronto,Women,Transitional,30,30,100
372,2024-01-03,Toronto,Mixed Adult,Emergency,72,72,100
374,2024-01-03,Toronto,Women,Emergency,30,30,100
377,2024-01-03,Toronto,Mixed Adult,Emergency,94,94,100
379,2024-01-03,Toronto,Women,Emergency,85,86,98.84
381,2024-01-03,Toronto,Men,Emergency,78,78,100
383,2024-01-03,Toronto,Men,Emergency,264,264,100
385,2024-01-03,Toronto,Men,Emergency,52,52,100
386,2024-01-03,Toronto,Men,Emergency,46,46,100
387,2024-01-03,Toronto,Women,Emergency,37,37,100
388,2024-01-03,Toronto,Men,Emergency,71,71,100
389,2024-01-03,Toronto,Men,Emergency,49,50,98
391,2024-01-03,Toronto,Mixed Adult,Emergency,6,6,100
392,2024-01-03,Toronto,Youth,Emergency,35,35,100
393,2024-01-03,Toronto,Mixed Adult,Emergency,32,32,100
396,2024-01-03,Toronto,Youth,Emergency,40,40,100
397,2024-01-03,Toronto,Youth,Transitional,25,25,100
398,2024-01-03,Toronto,Women,Emergency,30,30,100
399,2024-01-03,Toronto,Youth,Emergency,31,31,100
400,2024-01-03,Toronto,Women,Emergency,28,28,100
401,2024-01-03,Toronto,Youth,Emergency,27,27,100
402,2024-01-03,Etobicoke,Youth,Emergency,32,33,96.97
403,2024-01-03,Etobicoke,Youth,Transitional,19,20,95
404,2024-01-03,Scarborough,Youth,Emergency,10,10,100
405,2024-01-03,Scarborough,Youth,Transitional,40,41,97.56
408,2024-01-04,Toronto,Mixed Adult,Emergency,8,8,100
413,2024-01-04,Toronto,Men,Emergency,42,42,100
414,2024-01-04,Toronto,Men,Emergency,30,30,100
415,2024-01-04,Toronto,Mixed Adult,Emergency,23,23,100
418,2024-01-04,Toronto,Mixed Adult,Emergency,48,48,100
419,2024-01-04,Toronto,Men,Transitional,13,18,72.22
424,2024-01-04,Toronto,Men,Transitional,60,68,88.24
425,2024-01-04,Toronto,Men,Transitional,46,48,95.83
426,2024-01-04,Toronto,Men,Emergency,101,101,100
430,2024-01-04,Toronto,Mixed Adult,Transitional,92,93,98.92
431,2024-01-04,Toronto,Men,Emergency,62,62,100
432,2024-01-04,Toronto,Men,Emergency,66,67,98.51
433,2024-01-04,Toronto,Men,Emergency,119,119,100
434,2024-01-04,Toronto,Men,Transitional,29,36,80.56
435,2024-01-04,Toronto,Men,Emergency,16,16,100
436,2024-01-04,Toronto,Men,Emergency,53,53,100
437,2024-01-04,Toronto,Men,Emergency,105,106,99.06
438,2024-01-04,Toronto,Mixed Adult,Transitional,34,35,97.14
445,2024-01-04,Toronto,Women,Emergency,88,88,100
446,2024-01-04,Toronto,Men,Emergency,28,28,100
447,2024-01-04,Toronto,Youth,Transitional,1,2,50
448,2024-01-04,Toronto,Youth,Emergency,94,94,100
449,2024-01-04,Toronto,Youth,Emergency,30,30,100
450,2024-01-04,Toronto,Youth,Transitional,26,28,92.86
451,2024-01-04,Toronto,Mixed Adult,Emergency,78,78,100
452,2024-01-04,Toronto,Mixed Adult,Emergency,118,119,99.16
453,2024-01-04,Scarborough,Mixed Adult,Emergency,50,50,100
455,2024-01-04,Toronto,Mixed Adult,Emergency,61,61,100
456,2024-01-04,Toronto,Men,Emergency,30,30,100
457,2024-01-04,Toronto,Mixed Adult,Emergency,46,46,100
458,2024-01-04,Toronto,Youth,Transitional,49,50,98
459,2024-01-04,Toronto,Youth,Emergency,40,40,100
461,2024-01-04,Toronto,Mixed Adult,Transitional,5,5,100
462,2024-01-04,Toronto,Mixed Adult,Transitional,7,11,63.64
463,2024-01-04,Toronto,Women,Transitional,36,37,97.3
464,2024-01-04,Toronto,Women,Transitional,23,25,92
465,2024-01-04,Toronto,Women,Emergency,52,52,100
466,2024-01-04,Toronto,Women,Emergency,36,36,100
467,2024-01-04,Toronto,Mixed Adult,Emergency,69,70,98.57
469,2024-01-04,Toronto,Mixed Adult,Emergency,60,70,85.71
470,2024-01-04,Toronto,Mixed Adult,Emergency,60,60,100
471,2024-01-04,Toronto,Mixed Adult,Emergency,113,116,97.41
474,2024-01-04,Toronto,Men,Transitional,24,25,96
475,2024-01-04,Toronto,Men,Emergency,35,35,100
476,2024-01-04,Toronto,Men,Transitional,4,5,80
478,2024-01-04,Toronto,Women,Emergency,61,61,100
479,2024-01-04,Toronto,Mixed Adult,Emergency,111,111,100
480,2024-01-04,Toronto,Men,Emergency,34,34,100
481,2024-01-04,Toronto,Women,Emergency,66,66,100
482,2024-01-04,Toronto,Men,Emergency,73,73,100
483,2024-01-04,Scarborough,Mixed Adult,Emergency,89,89,100
485,2024-01-04,North York,Men,Emergency,278,278,100
486,2024-01-04,North York,Women,Emergency,132,132,100
487,2024-01-04,North York,Men,Emergency,6,6,100
488,2024-01-04,North York,Women,Emergency,4,4,100
490,2024-01-04,Toronto,Mixed Adult,Emergency,32,32,100
493,2024-01-04,Toronto,Mixed Adult,Emergency,81,81,100
494,2024-01-04,Toronto,Mixed Adult,Emergency,49,49,100
495,2024-01-04,Toronto,Youth,Emergency,45,45,100
496,2024-01-04,Toronto,Youth,Emergency,23,23,100
497,2024-01-04,Toronto,Mixed Adult,Emergency,30,30,100
498,2024-01-04,Toronto,Men,Emergency,54,54,100
499,2024-01-04,Toronto,Men,Transitional,15,17,88.24
500,2024-01-04,Toronto,Youth,Emergency,11,12,91.67
501,2024-01-04,Toronto,Youth,Emergency,12,15,80
502,2024-01-04,Toronto,Women,Emergency,16,16,100
503,2024-01-04,Toronto,Women,Transitional,20,20,100
504,2024-01-04,Toronto,Women,Emergency,31,31,100
505,2024-01-04,Toronto,Women,Emergency,39,39,100
506,2024-01-04,Toronto,Women,Transitional,30,30,100
507,2024-01-04,Toronto,Mixed Adult,Emergency,72,72,100
509,2024-01-04,Toronto,Women,Emergency,30,30,100
512,2024-01-04,Toronto,Mixed Adult,Emergency,94,94,100
514,2024-01-04,Toronto,Women,Emergency,85,85,100
516,2024-01-04,Toronto,Men,Emergency,78,78,100
518,2024-01-04,Toronto,Men,Emergency,264,264,100
520,2024-01-04,Toronto,Men,Emergency,52,52,100
521,2024-01-04,Toronto,Men,Emergency,46,46,100
522,2024-01-04,Toronto,Women,Emergency,37,37,100
523,2024-01-04,Toronto,Men,Emergency,71,71,100
524,2024-01-04,Toronto,Men,Emergency,50,50,100
526,2024-01-04,Toronto,Mixed Adult,Emergency,6,6,100
527,2024-01-04,Toronto,Youth,Emergency,35,35,100
528,2024-01-04,Toronto,Mixed Adult,Emergency,31,32,96.88
531,2024-01-04,Toronto,Youth,Emergency,40,40,100
532,2024-01-04,Toronto,Youth,Transitional,25,25,100
533,2024-01-04,Toronto,Women,Emergency,30,30,100
534,2024-01-04,Toronto,Youth,Emergency,31,31,100
535,2024-01-04,Toronto,Women,Emergency,28,28,100
536,2024-01-04,Toronto,Youth,Emergency,27,27,100
537,2024-01-04,Etobicoke,Youth,Emergency,33,33,100
538,2024-01-04,Etobicoke,Youth,Transitional,19,20,95
539,2024-01-04,Scarborough,Youth,Emergency,10,10,100
540,2024-01-04,Scarborough,Youth,Transitional,40,41,97.56
543,2024-01-05,Toronto,Mixed Adult,Emergency,8,8,100
548,2024-01-05,Toronto,Men,Emergency,42,42,100
549,2024-01-05,Toronto,Men,Emergency,30,30,100
550,2024-01-05,Toronto,Mixed Adult,Emergency,22,23,95.65
553,2024-01-05,Toronto,Mixed Adult,Emergency,44,48,91.67
554,2024-01-05,Toronto,Men,Transitional,13,18,72.22
559,2024-01-05,Toronto,Men,Transitional,63,68,92.65
560,2024-01-05,Toronto,Men,Transitional,46,48,95.83
561,2024-01-05,Toronto,Men,Emergency,101,101,100
565,2024-01-05,Toronto,Mixed Adult,Transitional,92,93,98.92
566,2024-01-05,Toronto,Men,Emergency,62,62,100
567,2024-01-05,Toronto,Men,Emergency,67,67,100
568,2024-01-05,Toronto,Men,Emergency,119,119,100
569,2024-01-05,Toronto,Men,Transitional,30,36,83.33
570,2024-01-05,Toronto,Men,Emergency,16,16,100
571,2024-01-05,Toronto,Men,Emergency,53,53,100
572,2024-01-05,Toronto,Men,Emergency,105,105,100
573,2024-01-05,Toronto,Mixed Adult,Transitional,33,35,94.29
580,2024-01-05,Toronto,Women,Emergency,88,88,100
581,2024-01-05,Toronto,Men,Emergency,28,28,100
582,2024-01-05,Toronto,Youth,Transitional,1,2,50
583,2024-01-05,Toronto,Youth,Emergency,94,94,100
584,2024-01-05,Toronto,Youth,Emergency,29,30,96.67
585,2024-01-05,Toronto,Youth,Transitional,27,28,96.43
586,2024-01-05,Toronto,Mixed Adult,Emergency,78,78,100
587,2024-01-05,Toronto,Mixed Adult,Emergency,118,119,99.16
588,2024-01-05,Scarborough,Mixed Adult,Emergency,50,50,100
590,2024-01-05,Toronto,Mixed Adult,Emergency,62,62,100
591,2024-01-05,Toronto,Men,Emergency,30,30,100
592,2024-01-05,Toronto,Mixed Adult,Emergency,30,31,96.77
593,2024-01-05,Toronto,Youth,Transitional,49,50,98
594,2024-01-05,Toronto,Youth,Emergency,40,40,100
596,2024-01-05,Toronto,Mixed Adult,Transitional,5,5,100
597,2024-01-05,Toronto,Mixed Adult,Transitional,7,11,63.64
598,2024-01-05,Toronto,Women,Transitional,37,37,100
599,2024-01-05,Toronto,Women,Transitional,23,25,92
600,2024-01-05,Toronto,Women,Emergency,52,52,100
601,2024-01-05,Toronto,Women,Emergency,36,36,100
602,2024-01-05,Toronto,Mixed Adult,Emergency,70,70,100
604,2024-01-05,Toronto,Mixed Adult,Emergency,63,70,90
605,2024-01-05,Toronto,Mixed Adult,Emergency,57,58,98.28
606,2024-01-05,Toronto,Mixed Adult,Emergency,115,116,99.14
609,2024-01-05,Toronto,Men,Transitional,23,25,92
610,2024-01-05,Toronto,Men,Emergency,35,35,100
611,2024-01-05,Toronto,Men,Transitional,4,5,80
613,2024-01-05,Toronto,Women,Emergency,61,61,100
614,2024-01-05,Toronto,Mixed Adult,Emergency,110,110,100
615,2024-01-05,Toronto,Men,Emergency,34,34,100
616,2024-01-05,Toronto,Women,Emergency,66,66,100
617,2024-01-05,Toronto,Men,Emergency,73,74,98.65
618,2024-01-05,Scarborough,Mixed Adult,Emergency,89,89,100
620,2024-01-05,North York,Men,Emergency,278,278,100
621,2024-01-05,North York,Women,Emergency,132,132,100
622,2024-01-05,North York,Men,Emergency,6,6,100
623,2024-01-05,North York,Women,Emergency,4,4,100
625,2024-01-05,Toronto,Mixed Adult,Emergency,36,36,100
628,2024-01-05,Toronto,Mixed Adult,Emergency,85,85,100
629,2024-01-05,Toronto,Mixed Adult,Emergency,49,49,100
630,2024-01-05,Toronto,Youth,Emergency,45,45,100
631,2024-01-05,Toronto,Youth,Emergency,23,23,100
632,2024-01-05,Toronto,Mixed Adult,Emergency,30,30,100
633,2024-01-05,Toronto,Men,Emergency,54,54,100
634,2024-01-05,Toronto,Men,Transitional,15,17,88.24
635,2024-01-05,Toronto,Youth,Emergency,11,12,91.67
636,2024-01-05,Toronto,Youth,Emergency,12,15,80
637,2024-01-05,Toronto,Women,Emergency,16,16,100
638,2024-01-05,Toronto,Women,Transitional,20,20,100
639,2024-01-05,Toronto,Women,Emergency,31,31,100
640,2024-01-05,Toronto,Women,Emergency,39,39,100
641,2024-01-05,Toronto,Women,Transitional,30,30,100
642,2024-01-05,Toronto,Mixed Adult,Emergency,71,72,98.61
644,2024-01-05,Toronto,Women,Emergency,30,30,100
647,2024-01-05,Toronto,Mixed Adult,Emergency,94,94,100
649,2024-01-05,Toronto,Women,Emergency,85,85,100
651,2024-01-05,Toronto,Men,Emergency,78,78,100
653,2024-01-05,Toronto,Men,Emergency,264,264,100
655,2024-01-05,Toronto,Men,Emergency,52,52,100
656,2024-01-05,Toronto,Men,Emergency,46,46,100
657,2024-01-05,Toronto,Women,Emergency,37,37,100
658,2024-01-05,Toronto,Men,Emergency,71,71,100
659,2024-01-05,Toronto,Men,Emergency,50,50,100
661,2024-01-05,Toronto,Mixed Adult,Emergency,6,6,100
662,2024-01-05,Toronto,Youth,Emergency,35,35,100
663,2024-01-05,Toronto,Mixed Adult,Emergency,32,32,100
666,2024-01-05,Toronto,Youth,Emergency,40,40,100
667,2024-01-05,Toronto,Youth,Transitional,25,25,100
668,2024-01-05,Toronto,Women,Emergency,31,31,100
669,2024-01-05,Toronto,Youth,Emergency,31,31,100
