service_type,program_area,sector,classification,count,capacity,occupancy_rate
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,119,119,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,44,46,95.65
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,7,11,63.64
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,63,70,90
Warming Centre,Winter Programs,Mixed Adult,Emergency,54,60,90
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,113,119,94.96
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,109,111,98.2
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,31,31,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,82,82,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,47,48,97.92
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,119,119,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,61,61,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,42,46,91.3
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,7,11,63.64
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,70,98.57
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,61,70,87.14
Warming Centre,Winter Programs,Mixed Adult,Emergency,59,60,98.33
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,117,118,99.15
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,109,111,98.2
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,33,33,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,81,82,98.78
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,92,93,98.92
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,34,35,97.14
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,118,119,99.16
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,61,61,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,46,46,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,7,11,63.64
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,70,98.57
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,60,70,85.71
Warming Centre,Winter Programs,Mixed Adult,Emergency,60,60,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,113,116,97.41
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,111,111,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,32,32,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,81,81,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,31,32,96.88
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,22,23,95.65
Warming Centre,Winter Programs,Mixed Adult,Emergency,44,48,91.67
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,92,93,98.92
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,118,119,99.16
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,30,31,96.77
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,7,11,63.64
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,63,70,90
Warming Centre,Winter Programs,Mixed Adult,Emergency,57,58,98.28
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,115,116,99.14
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,110,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,36,36,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,85,85,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,71,72,98.61
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,19,20,95
Warming Centre,Winter Programs,Mixed Adult,Emergency,41,48,85.42
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,92,93,98.92
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,32,35,91.43
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,119,119,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,22,25,88
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,7,11,63.64
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,63,70,90
Warming Centre,Winter Programs,Mixed Adult,Emergency,43,58,74.14
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,119,119,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,110,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,36,36,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,83,83,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,15,15,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,39,48,81.25
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,92,93,98.92
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,119,119,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,7,11,63.64
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,70,70,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,70,88.57
Warming Centre,Winter Programs,Mixed Adult,Emergency,42,43,97.67
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,118,119,99.16
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,110,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,36,36,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,82,83,98.8
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,7,8,87.5
Warming Centre,Winter Programs,Mixed Adult,Emergency,9,13,69.23
Warming Centre,Winter Programs,Mixed Adult,Emergency,38,48,79.17
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,92,93,98.92
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,119,119,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,8,10,80
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,63,70,90
Warming Centre,Winter Programs,Mixed Adult,Emergency,37,37,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,119,120,99.17
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,110,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,33,33,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,83,83,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,47,48,97.92
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,7,8,87.5
Warming Centre,Winter Programs,Mixed Adult,Emergency,18,19,94.74
Warming Centre,Winter Programs,Mixed Adult,Emergency,47,48,97.92
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,92,93,98.92
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,119,119,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,21,40,52.5
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,8,10,80
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,64,70,91.43
Warming Centre,Winter Programs,Mixed Adult,Emergency,59,60,98.33
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,113,120,94.17
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,110,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,37,37,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,83,83,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,71,72,98.61
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,22,22,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,92,93,98.92
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,119,119,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,37,40,92.5
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,8,10,80
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,66,70,94.29
Warming Centre,Winter Programs,Mixed Adult,Emergency,57,60,95
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,119,120,99.17
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,110,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,37,37,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,83,83,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,32,35,91.43
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,119,119,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,44,46,95.65
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,8,10,80
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,65,69,94.2
Warming Centre,Winter Programs,Mixed Adult,Emergency,60,60,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,118,120,98.33
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,111,111,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,38,38,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,84,84,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,32,35,91.43
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,77,78,98.72
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,120,120,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,43,46,93.48
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,8,10,80
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,64,69,92.75
Warming Centre,Winter Programs,Mixed Adult,Emergency,60,60,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,119,120,99.17
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,110,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,37,37,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,84,84,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,120,120,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,45,46,97.83
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,8,10,80
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,63,69,91.3
Warming Centre,Winter Programs,Mixed Adult,Emergency,60,60,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,120,120,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,110,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,37,37,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,84,84,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,135,140,96.43
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,45,46,97.83
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,8,10,80
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,59,69,85.51
Warming Centre,Winter Programs,Mixed Adult,Emergency,60,60,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,134,136,98.53
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,110,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,36,36,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,84,84,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,138,150,92
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,46,46,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,8,10,80
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,63,69,91.3
Warming Centre,Winter Programs,Mixed Adult,Emergency,60,60,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,136,140,97.14
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,110,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,25,25,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,83,83,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
